city,year,total_observations,unique_species,total_participants,species_per_observer
San Diego,2023,20299,2472,1129,2.19
San Diego,2024,29259,2846,1360,2.09
San Diego,2025,32355,2844,1304,2.18
La Paz,2023,124459,3944,3019,1.31
La Paz,2024,166466,3987,3600,1.11
La Paz,2025,149563,3341,3341,1.0
San Antonio,2023,20135,2501,909,2.75
San Antonio,2024,65071,3700,1419,2.61
San Antonio,2025,135059,5047,2755,1.83
Cochabamba,2023,4235,1017,214,4.75
Cochabamba,2024,49273,3112,992,3.14
Cochabamba,2025,110512,4534,3251,1.39
Ostrava,2024,22125,1258,558,2.25
Ostrava,2025,100303,1822,1199,1.52
Dallas-Fort Worth,2023,48664,2995,1397,2.14
Dallas-Fort Worth,2024,47134,3329,1545,2.15
Dallas-Fort Worth,2025,73323,4294,2005,2.14
Hong Kong,2023,39372,4392,749,5.86
Hong Kong,2024,35104,4361,992,4.4
Hong Kong,2025,38072,4970,1168,4.26
Graz,2023,32886,3686,345,10.68
Graz,2024,42403,4444,345,12.88
Graz,2025,58417,4901,504,9.72
San Francisco Bay Area,2023,32956,2763,2718,1.02
San Francisco Bay Area,2024,40933,3314,2826,1.17
San Francisco Bay Area,2025,52226,3985,3161,1.26
Washington DC,2023,37970,2835,1626,1.74
Washington DC,2024,43772,3154,1961,1.61
Washington DC,2025,55001,3453,2506,1.38
