taxon_group,san_diego,la_paz,san_antonio,cochabamba,ostrava,dallas_fort_worth,hong_kong,graz,san_francisco_bay_area,washington_dc
Plantae,20772,110710,91409,78627,79010,38951,18556,29401,32299,35438
Insecta,3186,9116,24194,6516,2858,22806,11575,18244,7548,8200
Aves,5057,4439,7872,2569,1504,4793,2642,2198,5447,4467
Fungi,669,2584,3351,1028,495,1920,282,2183,1827,2006
Arachnida,345,830,1415,1178,266,1511,1337,2297,874,1108
Reptilia,372,179,1767,261,17,1099,378,202,487,857
Mollusca,669,135,921,246,870,520,880,1770,1141,552
Mammalia,500,602,1660,884,153,560,218,303,874,602
Amphibia,45,399,266,259,102,306,348,323,293,521
Actinopterygii,97,50,295,320,62,136,332,58,81,250
