hex_id,habitat,dominant_category,dominant_pct
8729a0820ffffff,Chaparral,Scrub and Chaparral,0.8003369720902069
8729a0824ffffff,Chaparral,Scrub and Chaparral,0.8046947378094004
8729a0825ffffff,Chaparral,Scrub and Chaparral,0.6294456279248076
8729a0826ffffff,Chaparral,Scrub and Chaparral,0.8403739703886127
8729a0835ffffff,Mixed,Scrub and Chaparral,0.47164149551345225
8729a0900ffffff,Chaparral,Scrub and Chaparral,0.5711393937622308
8729a0901ffffff,Chaparral,Scrub and Chaparral,0.8986446041588703
8729a0902ffffff,Chaparral,Scrub and Chaparral,0.893066168167738
8729a0903ffffff,Chaparral,Scrub and Chaparral,0.7308917886348992
8729a0904ffffff,Riparian,"Grasslands, Vernal Pools, Meadows, and Other Herb Communities",0.6386226996062488
8729a0905ffffff,Mixed,Scrub and Chaparral,0.5254495627382689
8729a0906ffffff,Riparian,"Grasslands, Vernal Pools, Meadows, and Other Herb Communities",0.6124894197547733
8729a0908ffffff,Mixed,"Grasslands, Vernal Pools, Meadows, and Other Herb Communities",0.4351286002538798
8729a0909ffffff,Chaparral,Scrub and Chaparral,0.9610885376532112
8729a090affffff,Chaparral,Scrub and Chaparral,0.665380287225842
8729a090bffffff,Chaparral,Scrub and Chaparral,0.9438255091393405
8729a090cffffff,Mixed,"Grasslands, Vernal Pools, Meadows, and Other Herb Communities",0.43202927502733474
8729a090dffffff,Riparian,"Grasslands, Vernal Pools, Meadows, and Other Herb Communities",0.7992603260916441
8729a090effffff,Chaparral,Scrub and Chaparral,0.6505234572618303
8729a0910ffffff,Chaparral,Scrub and Chaparral,0.9058443011882982
8729a0911ffffff,Chaparral,Scrub and Chaparral,0.9011523553898164
8729a0912ffffff,Chaparral,Scrub and Chaparral,0.5623969138405953
8729a0913ffffff,Chaparral,Scrub and Chaparral,0.7664174076321705
8729a0914ffffff,Chaparral,Scrub and Chaparral,0.6581540005405082
8729a0915ffffff,Mixed,Scrub and Chaparral,0.4687149213070482
8729a0916ffffff,Chaparral,Scrub and Chaparral,0.5842075550181517
8729a0918ffffff,Chaparral,Scrub and Chaparral,0.9125787631289277
8729a0919ffffff,Mixed,Scrub and Chaparral,0.5177361883645408
8729a091affffff,Chaparral,Scrub and Chaparral,0.8461451436955502
8729a091bffffff,Chaparral,Scrub and Chaparral,0.8752591832800775
8729a091cffffff,Chaparral,Scrub and Chaparral,0.6236203480671078
8729a091dffffff,Riparian,"Grasslands, Vernal Pools, Meadows, and Other Herb Communities",0.63801254385105
8729a091effffff,Chaparral,Scrub and Chaparral,0.9472112546016082
8729a0920ffffff,Mixed,"Grasslands, Vernal Pools, Meadows, and Other Herb Communities",0.5207276700434518
8729a0921ffffff,Chaparral,Coastal Sage Scrub,0.7434874836116417
8729a0922ffffff,Riparian,"Grasslands, Vernal Pools, Meadows, and Other Herb Communities",0.7368152249135951
8729a0923ffffff,Riparian,"Grasslands, Vernal Pools, Meadows, and Other Herb Communities",0.8070112663453897
8729a0924ffffff,Chaparral,Coastal Sage Scrub,0.8017876329550474
8729a0925ffffff,Chaparral,Coastal Sage Scrub,0.7505864151620151
8729a0926ffffff,Mixed,Coastal Sage Scrub,0.5026021630377453
8729a0928ffffff,Mixed,"Grasslands, Vernal Pools, Meadows, and Other Herb Communities",0.4593484731757412
8729a0929ffffff,Mixed,"Grasslands, Vernal Pools, Meadows, and Other Herb Communities",0.40671788468257875
8729a092affffff,Mixed,"Grasslands, Vernal Pools, Meadows, and Other Herb Communities",0.42846391795862965
8729a092bffffff,Mixed,"Grasslands, Vernal Pools, Meadows, and Other Herb Communities",0.49729448260084436
8729a092cffffff,Chaparral,Coastal Sage Scrub,0.565414367743294
8729a092dffffff,Chaparral,Coastal Sage Scrub,0.8658758314310543
8729a092effffff,Mixed,"Grasslands, Vernal Pools, Meadows, and Other Herb Communities",0.480026705884677
8729a0930ffffff,Mixed,"Grasslands, Vernal Pools, Meadows, and Other Herb Communities",0.5464196638774923
8729a0931ffffff,Riparian,"Grasslands, Vernal Pools, Meadows, and Other Herb Communities",0.8919278318797957
8729a0932ffffff,Mixed,Scrub and Chaparral,0.526559973021112
8729a0933ffffff,Mixed,Woodland,0.43054102150604856
8729a0934ffffff,Riparian,"Grasslands, Vernal Pools, Meadows, and Other Herb Communities",0.8961410501223355
8729a0935ffffff,Riparian,"Grasslands, Vernal Pools, Meadows, and Other Herb Communities",0.8606122909467221
8729a0936ffffff,Mixed,"Grasslands, Vernal Pools, Meadows, and Other Herb Communities",0.42040233743056055
8729a0950ffffff,Chaparral,Coastal Sage Scrub,0.726183021709762
8729a0952ffffff,Chaparral,Coastal Sage Scrub,0.6251008231514237
8729a0954ffffff,Mixed,Scrub and Chaparral,0.3833192742855947
8729a0956ffffff,Mixed,Coastal Sage Scrub,0.5011613007739665
8729a0962ffffff,Chaparral,Coastal Sage Scrub,0.6668588243269369
8729a0966ffffff,Mixed,Agriculture,0.3914991158676969
8729a0970ffffff,Riparian,"Grasslands, Vernal Pools, Meadows, and Other Herb Communities",0.5599582003078295
8729a0971ffffff,Mixed,"Grasslands, Vernal Pools, Meadows, and Other Herb Communities",0.5112422525645746
